Country Name,Metric,Year,Life Expectancy
Cambodia,Female,1960,44.3
Cambodia,Total,1960,42.4
Cameroon,Male,1960,29.5
Cameroon,Female,1960,42.0
Cameroon,Total,1960,34.8
Canada,Total,1960,71.1
Canada,Female,1960,74.2
Canada,Male,1960,68.3
Caribbean small states,Total,1960,59.1
Caribbean small states,Male,1960,56.9
Caribbean small states,Female,1960,61.3
Cayman Islands,Male,1960,62.2
Cayman Islands,Total,1960,65.0
Cayman Islands,Female,1960,68.0
Central African Republic,Total,1960,39.2
Central African Republic,Female,1960,40.5
Central African Republic,Male,1960,38.0
Central Europe and the Baltics,Male,1960,65.6
Central Europe and the Baltics,Total,1960,67.9
Central Europe and the Baltics,Female,1960,70.5
Chad,Male,1960,36.8
Chad,Total,1960,38.4
Chad,Female,1960,40.0
Channel Islands,Male,1960,68.3
Channel Islands,Female,1960,74.5
Channel Islands,Total,1960,71.5
Chile,Total,1960,57.0
Chile,Male,1960,54.8
Chile,Female,1960,59.4
China,Total,1960,33.3
China,Female,1960,34.6
China,Male,1960,32.1
Colombia,Total,1960,57.1
Colombia,Female,1960,59.2
Colombia,Male,1960,55.1
Comoros,Total,1960,39.7
Comoros,Female,1960,40.0
Comoros,Male,1960,39.3
"Congo, Dem. Rep.",Female,1960,42.0
"Congo, Dem. Rep.",Male,1960,39.7
"Congo, Dem. Rep.",Total,1960,40.9
"Congo, Rep.",Female,1960,50.5
"Congo, Rep.",Total,1960,48.0
"Congo, Rep.",Male,1960,45.5
Costa Rica,Male,1960,58.8
Costa Rica,Female,1960,62.1
Costa Rica,Total,1960,60.4
Cote d'Ivoire,Male,1960,36.5
Cote d'Ivoire,Total,1960,38.1
Cote d'Ivoire,Female,1960,39.8
Croatia,Male,1960,62.8
Croatia,Total,1960,65.5
Croatia,Female,1960,68.3
Cuba,Male,1960,62.7
Cuba,Total,1960,64.2
Cuba,Female,1960,65.9
Curacao,Female,1960,68.1
Curacao,Male,1960,63.6
Curacao,Total,1960,65.8
Cyprus,Male,1960,60.8
Cyprus,Total,1960,64.2
Cyprus,Female,1960,67.9
Czechia,Total,1960,70.3
Czechia,Male,1960,67.5
Czechia,Female,1960,73.3
Denmark,Female,1960,74.0
Denmark,Total,1960,72.2
Denmark,Male,1960,70.4
Djibouti,Total,1960,43.4
Djibouti,Female,1960,45.3
Djibouti,Male,1960,41.6
Dominica,Female,1960,59.9
Dominica,Male,1960,58.0
Dominica,Total,1960,59.0
Dominican Republic,Total,1960,50.3
Dominican Republic,Male,1960,48.1
Dominican Republic,Female,1960,52.6
Early-demographic dividend,Female,1960,47.3
Early-demographic dividend,Total,1960,46.9
Early-demographic dividend,Male,1960,46.5
East Asia & Pacific,Male,1960,39.9
East Asia & Pacific,Female,1960,43.5
East Asia & Pacific,Total,1960,41.6
East Asia & Pacific (IDA & IBRD countries),Female,1960,39.1
East Asia & Pacific (IDA & IBRD countries),Total,1960,37.5
East Asia & Pacific (IDA & IBRD countries),Male,1960,36.1
East Asia & Pacific (excluding high income),Total,1960,37.7
East Asia & Pacific (excluding high income),Female,1960,39.4
East Asia & Pacific (excluding high income),Male,1960,36.3
Ecuador,Total,1960,53.4
Ecuador,Female,1960,55.0
Ecuador,Male,1960,51.8
"Egypt, Arab Rep.",Total,1960,45.4
"Egypt, Arab Rep.",Male,1960,43.6
"Egypt, Arab Rep.",Female,1960,47.3
El Salvador,Female,1960,50.1
El Salvador,Total,1960,48.1
El Salvador,Male,1960,46.1
Equatorial Guinea,Female,1960,43.3
Equatorial Guinea,Total,1960,41.7
Equatorial Guinea,Male,1960,40.2
Eritrea,Female,1960,39.6
Eritrea,Total,1960,37.5
Eritrea,Male,1960,35.4
Estonia,Total,1960,68.9
Estonia,Female,1960,73.0
Estonia,Male,1960,65.0
Eswatini,Female,1960,47.3
Eswatini,Male,1960,44.3
Eswatini,Total,1960,45.8
Ethiopia,Female,1960,42.7
Ethiopia,Total,1960,40.3
Ethiopia,Male,1960,38.1
Euro area,Female,1960,72.0
Euro area,Total,1960,69.2
Euro area,Male,1960,66.6
Europe & Central Asia,Total,1960,67.5
Europe & Central Asia,Male,1960,64.5
Europe & Central Asia,Female,1960,70.6
Europe & Central Asia (IDA & IBRD countries),Male,1960,61.3
Europe & Central Asia (IDA & IBRD countries),Female,1960,68.5
Europe & Central Asia (IDA & IBRD countries),Total,1960,64.8
Europe & Central Asia (excluding high income),Male,1960,57.8
Europe & Central Asia (excluding high income),Female,1960,64.8
Europe & Central Asia (excluding high income),Total,1960,61.2
European Union,Total,1960,69.0
European Union,Female,1960,71.7
European Union,Male,1960,66.5
Faroe Islands,Female,1960,66.0
Faroe Islands,Total,1960,63.1
Faroe Islands,Male,1960,60.5
Fiji,Female,1960,58.6
Fiji,Total,1960,57.6
Fiji,Male,1960,56.8
Finland,Female,1960,72.4
Finland,Total,1960,68.8
Finland,Male,1960,65.4
Fragile and conflict affected situations,Female,1960,48.6
Fragile and conflict affected situations,Male,1960,44.0
Fragile and conflict affected situations,Total,1960,46.2
France,Female,1960,73.3
France,Total,1960,69.9
France,Male,1960,66.6
French Polynesia,Male,1960,58.5
French Polynesia,Female,1960,61.2
French Polynesia,Total,1960,59.7
Gabon,Male,1960,45.0
Gabon,Total,1960,46.6
Gabon,Female,1960,48.1
"Gambia, The",Male,1960,33.9
"Gambia, The",Total,1960,35.1
"Gambia, The",Female,1960,36.3
Georgia,Male,1960,57.1
Georgia,Total,1960,61.2
Georgia,Female,1960,65.2
Germany,Female,1960,71.7
Germany,Total,1960,69.1
Germany,Male,1960,66.5
Ghana,Male,1960,45.1
Ghana,Female,1960,49.4
Ghana,Total,1960,47.1
Gibraltar,Female,1960,70.7
Gibraltar,Total,1960,69.3
Gibraltar,Male,1960,67.7
Greece,Female,1960,71.9
Greece,Male,1960,66.9
Greece,Total,1960,69.3
Greenland,Male,1960,52.0
Greenland,Female,1960,54.3
Greenland,Total,1960,53.3
Grenada,Male,1960,58.6
Grenada,Female,1960,62.4
Grenada,Total,1960,60.8
Guam,Total,1960,60.9
Guam,Male,1960,59.1
Guam,Female,1960,63.7
Guatemala,Male,1960,45.4
Guatemala,Female,1960,46.2
Guatemala,Total,1960,45.8
Guinea,Male,1960,35.3
Guinea,Total,1960,36.5
Guinea,Female,1960,37.9
Guinea-Bissau,Total,1960,37.5
Guinea-Bissau,Male,1960,35.7
Guinea-Bissau,Female,1960,39.4
Guyana,Female,1960,60.6
Guyana,Male,1960,55.6
Guyana,Total,1960,58.0
Haiti,Total,1960,43.5
Haiti,Male,1960,41.3
Haiti,Female,1960,45.7
Heavily indebted poor countries (HIPC),Male,1960,39.2
Heavily indebted poor countries (HIPC),Female,1960,42.4
Heavily indebted poor countries (HIPC),Total,1960,40.7
High income,Total,1960,68.3
High income,Male,1960,65.5
High income,Female,1960,71.4
Honduras,Male,1960,46.5
Honduras,Female,1960,50.2
Honduras,Total,1960,48.3
"Hong Kong SAR, China",Male,1960,61.7
"Hong Kong SAR, China",Female,1960,70.3
"Hong Kong SAR, China",Total,1960,65.9
Hungary,Total,1960,68.0
Hungary,Male,1960,65.9
Hungary,Female,1960,70.2
IBRD only,Total,1960,45.8
IBRD only,Male,1960,44.3
IBRD only,Female,1960,47.6
IDA & IBRD total,Male,1960,43.9
IDA & IBRD total,Total,1960,45.3
IDA & IBRD total,Female,1960,47.0
IDA blend,Total,1960,43.1
IDA blend,Female,1960,43.8
IDA blend,Male,1960,42.7
IDA only,Total,1960,42.7
IDA only,Male,1960,41.7
IDA only,Female,1960,43.8
IDA total,Total,1960,42.8
IDA total,Male,1960,42.0
IDA total,Female,1960,43.8
Iceland,Total,1960,73.8
Iceland,Female,1960,75.5
Iceland,Male,1960,72.1
India,Female,1960,44.5
India,Male,1960,45.9
India,Total,1960,45.2
Indonesia,Male,1960,45.0
Indonesia,Total,1960,46.5
Indonesia,Female,1960,47.9
"Iran, Islamic Rep.",Total,1960,44.0
"Iran, Islamic Rep.",Female,1960,43.1
"Iran, Islamic Rep.",Male,1960,44.8
Iraq,Male,1960,49.5
Iraq,Total,1960,52.6
Iraq,Female,1960,55.9
Ireland,Female,1960,72.0
Ireland,Male,1960,68.5
Ireland,Total,1960,70.2
Isle of Man,Total,1960,64.4
Isle of Man,Female,1960,69.7
Isle of Man,Male,1960,59.2
Israel,Male,1960,69.4
Israel,Total,1960,71.4
Israel,Female,1960,73.6
Italy,Total,1960,69.1
Italy,Male,1960,66.7
Italy,Female,1960,71.7
Jamaica,Total,1960,64.0
Jamaica,Female,1960,65.7
Jamaica,Male,1960,62.2
Japan,Total,1960,67.7
Japan,Female,1960,70.2
Japan,Male,1960,65.3
Jordan,Male,1960,52.3
Jordan,Total,1960,52.6
Jordan,Female,1960,53.1
Kazakhstan,Male,1960,53.5
Kazakhstan,Female,1960,63.5
Kazakhstan,Total,1960,58.4
Kenya,Total,1960,48.7
Kenya,Female,1960,50.3
Kenya,Male,1960,47.3
Kiribati,Male,1960,46.5
Kiribati,Total,1960,47.9
Kiribati,Female,1960,49.2
"Korea, Dem. People's Rep.",Total,1960,54.0
"Korea, Dem. People's Rep.",Male,1960,52.1
"Korea, Dem. People's Rep.",Female,1960,55.7
"Korea, Rep.",Female,1960,56.8
"Korea, Rep.",Total,1960,54.3
"Korea, Rep.",Male,1960,52.0
Kosovo,Female,1960,62.9
Kosovo,Total,1960,61.5
Kosovo,Male,1960,60.0
Kuwait,Female,1960,58.9
Kuwait,Total,1960,56.9
Kuwait,Male,1960,55.6
Kyrgyz Republic,Female,1960,59.1
Kyrgyz Republic,Total,1960,55.1
Kyrgyz Republic,Male,1960,51.3
Lao PDR,Male,1960,39.1
Lao PDR,Female,1960,42.5
Lao PDR,Total,1960,40.8
Late-demographic dividend,Male,1960,41.5
Late-demographic dividend,Female,1960,46.4
Late-demographic dividend,Total,1960,43.8
Latin America & Caribbean,Total,1960,55.2
Latin America & Caribbean,Male,1960,53.0
Latin America & Caribbean,Female,1960,57.5
Latin America & Caribbean (excluding high income),Male,1960,52.4
Latin America & Caribbean (excluding high income),Female,1960,56.8
Latin America & Caribbean (excluding high income),Total,1960,54.5
Latin America & the Caribbean (IDA & IBRD countries),Male,1960,52.5
Latin America & the Caribbean (IDA & IBRD countries),Total,1960,54.7
Latin America & the Caribbean (IDA & IBRD countries),Female,1960,57.0
Latvia,Male,1960,66.3
Latvia,Total,1960,69.8
Latvia,Female,1960,73.5
Least developed countries: UN classification,Female,1960,42.3
Least developed countries: UN classification,Total,1960,41.2
Least developed countries: UN classification,Male,1960,40.3
Lebanon,Total,1960,64.8
Lebanon,Female,1960,66.7
Lebanon,Male,1960,63.1
Lesotho,Total,1960,50.4
Lesotho,Female,1960,53.5
Lesotho,Male,1960,46.2
Liberia,Female,1960,40.1
Liberia,Male,1960,36.7
Liberia,Total,1960,38.3
Libya,Female,1960,41.4
Libya,Male,1960,39.2
Libya,Total,1960,40.3
Liechtenstein,Total,1960,50.9
Liechtenstein,Male,1960,49.3
Liechtenstein,Female,1960,52.7
Lithuania,Male,1960,66.9
Lithuania,Total,1960,69.8
Lithuania,Female,1960,72.9
Low & middle income,Total,1960,43.4
Low & middle income,Female,1960,44.7
Low & middle income,Male,1960,42.3
Low income,Female,1960,42.7
Low income,Total,1960,41.1
Low income,Male,1960,39.5
Lower middle income,Male,1960,45.7
Lower middle income,Female,1960,46.1
Lower middle income,Total,1960,45.8
Luxembourg,Total,1960,68.6
Luxembourg,Female,1960,71.5
Luxembourg,Male,1960,65.8
"Macao SAR, China",Total,1960,65.0
"Macao SAR, China",Male,1960,63.2
"Macao SAR, China",Female,1960,66.5
Madagascar,Female,1960,44.3
Madagascar,Male,1960,42.2
Madagascar,Total,1960,43.2
Malawi,Female,1960,37.0
Malawi,Total,1960,35.2
Malawi,Male,1960,33.4
Malaysia,Total,1960,56.5
Malaysia,Female,1960,57.9
Malaysia,Male,1960,55.3
Maldives,Total,1960,38.5
Maldives,Male,1960,38.1
Maldives,Female,1960,39.1
Mali,Female,1960,30.5
Mali,Total,1960,29.8
Mali,Male,1960,29.0
Malta,Female,1960,69.9
Malta,Total,1960,68.2
Malta,Male,1960,66.6
Marshall Islands,Female,1960,57.1
Marshall Islands,Total,1960,53.8
Marshall Islands,Male,1960,51.1
Mauritania,Male,1960,44.3
Mauritania,Total,1960,44.8
Mauritania,Female,1960,45.3
Mauritius,Total,1960,55.5
Mauritius,Male,1960,52.8
Mauritius,Female,1960,58.2
Mexico,Total,1960,55.0
Mexico,Male,1960,53.2
Mexico,Female,1960,57.0
"Micronesia, Fed. Sts.",Female,1960,58.6
"Micronesia, Fed. Sts.",Total,1960,56.4
"Micronesia, Fed. Sts.",Male,1960,54.4
Middle East & North Africa,Female,1960,46.1
Middle East & North Africa,Male,1960,43.5
Middle East & North Africa,Total,1960,44.7
Middle East & North Africa (IDA & IBRD countries),Male,1960,43.4
Middle East & North Africa (IDA & IBRD countries),Total,1960,44.6
Middle East & North Africa (IDA & IBRD countries),Female,1960,45.9
Middle East & North Africa (excluding high income),Female,1960,45.9
Middle East & North Africa (excluding high income),Total,1960,44.6
Middle East & North Africa (excluding high income),Male,1960,43.4
Middle income,Total,1960,43.6
Middle income,Male,1960,42.5
Middle income,Female,1960,44.8
Moldova,Male,1960,56.8
Moldova,Total,1960,61.1
Moldova,Female,1960,64.9
Monaco,Total,1960,51.5
Monaco,Female,1960,53.8
Monaco,Male,1960,49.0
Mongolia,Male,1960,42.8
Mongolia,Female,1960,47.2
Mongolia,Total,1960,45.0
Montenegro,Male,1960,62.8
Montenegro,Female,1960,67.1
Montenegro,Total,1960,64.9
Morocco,Female,1960,42.8
Morocco,Male,1960,41.3
Morocco,Total,1960,42.0
Mozambique,Total,1960,41.2
Mozambique,Male,1960,40.0
Mozambique,Female,1960,42.4
Myanmar,Total,1960,43.9
Myanmar,Male,1960,42.4
Myanmar,Female,1960,45.5
Namibia,Total,1960,47.7
Namibia,Female,1960,49.5
Namibia,Male,1960,45.8
Nauru,Total,1960,58.6
Nauru,Female,1960,59.5
Nauru,Male,1960,58.1
Nepal,Total,1960,38.6
Nepal,Female,1960,38.7
Nepal,Male,1960,38.3
Netherlands,Male,1960,71.5
Netherlands,Female,1960,75.4
Netherlands,Total,1960,73.4
New Caledonia,Total,1960,58.6
New Caledonia,Female,1960,61.2
New Caledonia,Male,1960,56.2
New Zealand,Female,1960,73.9
New Zealand,Total,1960,71.2
New Zealand,Male,1960,68.7
Nicaragua,Male,1960,45.0
Nicaragua,Total,1960,46.1
Nicaragua,Female,1960,47.2
Niger,Total,1960,36.4
Niger,Female,1960,36.8
Niger,Male,1960,35.9
Nigeria,Female,1960,38.6
Nigeria,Male,1960,36.2
Nigeria,Total,1960,37.4
North America,Total,1960,69.9
North America,Male,1960,66.8
North America,Female,1960,73.2
North Macedonia,Total,1960,56.2
North Macedonia,Male,1960,55.1
North Macedonia,Female,1960,57.4
Northern Mariana Islands,Total,1960,43.1
Northern Mariana Islands,Male,1960,41.4
Northern Mariana Islands,Female,1960,44.8
Norway,Total,1960,73.5
Norway,Male,1960,71.3
Norway,Female,1960,75.9
Not classified,Female,1960,58.2
Not classified,Male,1960,57.2
Not classified,Total,1960,57.7
OECD members,Male,1960,64.5
OECD members,Female,1960,70.2
OECD members,Total,1960,67.3
Oman,Male,1960,33.6
Oman,Female,1960,37.5
Oman,Total,1960,35.4
Other small states,Male,1960,53.7
Other small states,Total,1960,56.5
Other small states,Female,1960,59.5
Pacific island small states,Female,1960,55.9
Pacific island small states,Total,1960,54.5
Pacific island small states,Male,1960,53.4
Pakistan,Male,1960,46.3
Pakistan,Total,1960,44.9
Pakistan,Female,1960,43.4
Palau,Total,1960,52.5
Palau,Female,1960,54.3
Palau,Male,1960,50.9
Panama,Male,1960,59.4
Panama,Female,1960,62.1
Panama,Total,1960,60.7
Papua New Guinea,Female,1960,47.8
Papua New Guinea,Male,1960,44.1
Papua New Guinea,Total,1960,45.7
Paraguay,Male,1960,58.1
Paraguay,Female,1960,62.7
Paraguay,Total,1960,60.4
Peru,Female,1960,51.6
Peru,Male,1960,49.4
Peru,Total,1960,50.5
Philippines,Total,1960,59.2
Philippines,Male,1960,57.8
Philippines,Female,1960,60.9
Poland,Total,1960,67.7
Poland,Male,1960,64.9
Poland,Female,1960,70.6
Portugal,Total,1960,64.0
Portugal,Female,1960,66.9
Portugal,Male,1960,61.3
Post-demographic dividend,Male,1960,66.1
Post-demographic dividend,Total,1960,68.9
Post-demographic dividend,Female,1960,71.8
Pre-demographic dividend,Total,1960,39.8
Pre-demographic dividend,Female,1960,41.3
Pre-demographic dividend,Male,1960,38.4
Puerto Rico,Total,1960,68.9
Puerto Rico,Female,1960,71.6
Puerto Rico,Male,1960,66.4
Qatar,Female,1960,60.7
Qatar,Male,1960,57.2
Qatar,Total,1960,58.9
Romania,Female,1960,67.6
Romania,Male,1960,64.2
Romania,Total,1960,65.9
Russian Federation,Male,1960,63.4
Russian Federation,Female,1960,71.7
Russian Federation,Total,1960,67.5
Rwanda,Total,1960,47.2
Rwanda,Female,1960,47.7
Rwanda,Male,1960,46.6
Samoa,Total,1960,54.7
Samoa,Male,1960,53.9
Samoa,Female,1960,55.6
San Marino,Female,1960,47.5
San Marino,Male,1960,44.1
San Marino,Total,1960,45.8
Sao Tome and Principe,Male,1960,41.6
Sao Tome and Principe,Total,1960,43.0
Sao Tome and Principe,Female,1960,44.7
Saudi Arabia,Total,1960,45.9
Saudi Arabia,Male,1960,44.5
Saudi Arabia,Female,1960,47.5
Senegal,Female,1960,40.0
Senegal,Male,1960,39.8
Senegal,Total,1960,39.9
Serbia,Female,1960,65.3
Serbia,Total,1960,63.9
Serbia,Male,1960,62.6
Seychelles,Female,1960,61.1
Seychelles,Male,1960,58.6
Seychelles,Total,1960,59.9
Sierra Leone,Female,1960,35.2
Sierra Leone,Male,1960,32.7
Sierra Leone,Total,1960,34.0
Singapore,Total,1960,64.7
Singapore,Female,1960,67.3
Singapore,Male,1960,62.2
Sint Maarten (Dutch part),Male,1960,64.5
Sint Maarten (Dutch part),Total,1960,66.2
Sint Maarten (Dutch part),Female,1960,67.7
Slovak Republic,Male,1960,68.1
Slovak Republic,Female,1960,72.5
Slovak Republic,Total,1960,70.3
Slovenia,Female,1960,72.0
Slovenia,Total,1960,69.0
Slovenia,Male,1960,66.1
Small states,Male,1960,54.3
Small states,Female,1960,59.5
Small states,Total,1960,56.8
Solomon Islands,Total,1960,47.7
Solomon Islands,Female,1960,49.7
Solomon Islands,Male,1960,46.4
Somalia,Total,1960,43.5
Somalia,Male,1960,42.1
Somalia,Female,1960,44.9
South Africa,Male,1960,50.9
South Africa,Female,1960,54.8
South Africa,Total,1960,52.7
South Asia,Female,1960,44.4
South Asia,Total,1960,45.1
South Asia,Male,1960,45.7
South Asia (IDA & IBRD),Male,1960,45.7
South Asia (IDA & IBRD),Female,1960,44.4
South Asia (IDA & IBRD),Total,1960,45.1
South Sudan,Total,1960,28.7
South Sudan,Male,1960,26.3
South Sudan,Female,1960,31.4
Spain,Male,1960,66.7
Spain,Female,1960,71.7
Spain,Total,1960,69.1
Sri Lanka,Female,1960,62.8
Sri Lanka,Total,1960,60.7
Sri Lanka,Male,1960,59.1
St. Kitts and Nevis,Total,1960,55.9
St. Kitts and Nevis,Female,1960,57.2
St. Kitts and Nevis,Male,1960,54.3
St. Lucia,Total,1960,55.7
St. Lucia,Male,1960,54.2
St. Lucia,Female,1960,57.0
St. Martin (French part),Total,1960,67.9
St. Martin (French part),Female,1960,70.7
St. Martin (French part),Male,1960,64.8
St. Vincent and the Grenadines,Total,1960,56.4
St. Vincent and the Grenadines,Male,1960,54.1
St. Vincent and the Grenadines,Female,1960,58.3
Sub-Saharan Africa,Female,1960,43.0
Sub-Saharan Africa,Male,1960,39.9
Sub-Saharan Africa,Total,1960,41.4
Sub-Saharan Africa (IDA & IBRD countries),Female,1960,43.0
Sub-Saharan Africa (IDA & IBRD countries),Total,1960,41.4
Sub-Saharan Africa (IDA & IBRD countries),Male,1960,39.9
Sub-Saharan Africa (excluding high income),Female,1960,43.0
Sub-Saharan Africa (excluding high income),Male,1960,39.9
Sub-Saharan Africa (excluding high income),Total,1960,41.4
Sudan,Female,1960,47.5
Sudan,Total,1960,46.6
Sudan,Male,1960,45.7
Suriname,Male,1960,55.1
Suriname,Total,1960,57.1
Suriname,Female,1960,59.4
Sweden,Total,1960,73.0
Sweden,Male,1960,71.2
Sweden,Female,1960,74.9
Switzerland,Female,1960,74.1
Switzerland,Male,1960,68.6
Switzerland,Total,1960,71.3
Syrian Arab Republic,Total,1960,53.5
Syrian Arab Republic,Male,1960,52.8
Syrian Arab Republic,Female,1960,54.4
Tajikistan,Total,1960,53.6
Tajikistan,Female,1960,56.1
Tajikistan,Male,1960,51.3
Tanzania,Total,1960,42.9
Tanzania,Female,1960,44.2
Tanzania,Male,1960,41.7
Thailand,Female,1960,53.7
Thailand,Total,1960,51.0
Thailand,Male,1960,48.5
Timor-Leste,Total,1960,32.2
Timor-Leste,Male,1960,30.6
Timor-Leste,Female,1960,33.9
Togo,Total,1960,42.7
Togo,Male,1960,41.4
Togo,Female,1960,44.0
Tonga,Male,1960,55.9
Tonga,Total,1960,58.2
Tonga,Female,1960,61.0
Trinidad and Tobago,Total,1960,63.0
Trinidad and Tobago,Male,1960,61.1
Trinidad and Tobago,Female,1960,65.1
Tunisia,Female,1960,45.0
Tunisia,Total,1960,43.9
Tunisia,Male,1960,42.9
Turkiye,Male,1960,47.9
Turkiye,Female,1960,53.8
Turkiye,Total,1960,50.7
Turkmenistan,Female,1960,57.4
Turkmenistan,Total,1960,53.5
Turkmenistan,Male,1960,49.7
Turks and Caicos Islands,Male,1960,54.1
Turks and Caicos Islands,Female,1960,55.7
Turks and Caicos Islands,Total,1960,55.0
Tuvalu,Female,1960,46.6
Tuvalu,Total,1960,46.4
Tuvalu,Male,1960,46.3
Uganda,Male,1960,43.4
Uganda,Total,1960,45.5
Uganda,Female,1960,47.9
Ukraine,Female,1960,72.6
Ukraine,Total,1960,69.5
Ukraine,Male,1960,66.5
United Arab Emirates,Male,1960,46.6
United Arab Emirates,Female,1960,52.0
United Arab Emirates,Total,1960,48.8
United Kingdom,Male,1960,68.2
United Kingdom,Female,1960,74.2
United Kingdom,Total,1960,71.1
United States,Male,1960,66.6
United States,Total,1960,69.8
United States,Female,1960,73.1
Upper middle income,Total,1960,41.9
Upper middle income,Male,1960,40.1
Upper middle income,Female,1960,43.9
Uruguay,Male,1960,64.8
Uruguay,Female,1960,71.2
Uruguay,Total,1960,67.8
Uzbekistan,Female,1960,60.3
Uzbekistan,Total,1960,57.5
Uzbekistan,Male,1960,54.6
Vanuatu,Male,1960,49.1
Vanuatu,Female,1960,50.6
Vanuatu,Total,1960,49.6
"Venezuela, RB",Female,1960,61.0
"Venezuela, RB",Male,1960,56.5
"Venezuela, RB",Total,1960,58.6
Viet Nam,Female,1960,63.6
Viet Nam,Male,1960,55.9
Viet Nam,Total,1960,59.7
Virgin Islands (U.S.),Total,1960,63.7
Virgin Islands (U.S.),Female,1960,67.0
Virgin Islands (U.S.),Male,1960,60.6
West Bank and Gaza,Female,1960,59.3
West Bank and Gaza,Total,1960,57.5
West Bank and Gaza,Male,1960,55.8
World,Total,1960,50.9
World,Female,1960,53.0
World,Male,1960,49.0
"Yemen, Rep.",Female,1960,36.2
"Yemen, Rep.",Total,1960,33.7
"Yemen, Rep.",Male,1960,31.3
Zambia,Female,1960,50.2
Zambia,Male,1960,47.8
Zambia,Total,1960,49.0
Zimbabwe,Total,1960,53.2
Zimbabwe,Male,1960,51.3
Zimbabwe,Female,1960,55.2
Afghanistan,Total,1961,33.1
Afghanistan,Male,1961,32.4
Afghanistan,Female,1961,33.8
Africa Eastern and Southern,Total,1961,44.4
Africa Eastern and Southern,Male,1961,42.8
Africa Eastern and Southern,Female,1961,46.1
Africa Western and Central,Total,1961,38.2
Africa Western and Central,Male,1961,36.8
Africa Western and Central,Female,1961,39.7
Albania,Female,1961,58.9
Albania,Male,1961,52.6
Albania,Total,1961,55.6
Algeria,Female,1961,43.5
Algeria,Total,1961,40.5
